"stable_archive_family_id","title_aliases","canonical_source_controller_path","sha256","current_website_urls","entity_type","volume_category_subfolder","publication_status","related_ids","duplicate_version_conflict_flags","placement_decision","proposed_action"
"IO-FAMILY-INDEPENDENT-OBSERVER-METHOD","The Independent Observer Method","src/data/green-publications.ts#greenPublications[IO-V1-INDEPENDENT-OBSERVER-METHOD]","76d5d011f1e012788bfa748e876395c4f10b7a3552ca7a580a758655d0d2fe3f","/research/the-independent-observer-method/","research-article","Volume I / Method · Evidence","Preview-only bounded text adaptation","IO-FAMILY-DEMOCRACYS-ACHILLES-HEEL","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-INTIMACY_AFTER_INSTITUTIONAL_CHANGE","Intimacy After Institutional Change","src/data/archive-navigation.ts#archivePapers[intimacy-after-institutional-change]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / A. Marriage, ownership, tax, and wealth architecture / Marriage, family law, and wealth [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-IOUS_TO_DOS","From IOUs to DOs: Federal Reserve Debt Instruments, Tariff Policy, and Domestic Medical Labor","src/data/archive-navigation.ts#archivePapers[ious-to-dos]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / C. Macroeconomy, industrial power, and geopolitical infrastructure / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-IOUS_TO_EMPIRES","From IOUs to Empires: How America Outsourced Its Production and China Weaponized the Dollar","src/data/archive-navigation.ts#archivePapers[ious-to-empires]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / C. Macroeconomy, industrial power, and geopolitical infrastructure / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-JD_VANCE_POPULISM","JD Vance, Populism, STEM, and Labor","src/data/archive-navigation.ts#archivePapers[jd-vance-populism]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume I / Political economy, labor, and equal opportunity / JD Vance, populism, STEM, and labor [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-LAST-HUMAN-WORKFORCE","The Last Human Workforce","src/data/archive-navigation.ts#archivePapers[last-human-workforce]; src/data/green-publications.ts#greenPublications[IO-V4-LAST-HUMAN-WORKFORCE]","31f921f6e7f52949687ed0b096bc783945752452aebfa29a1ded0856b84dc30d","/series/the-last-human-workforce/; /research/the-last-human-workforce/","archive-family; research-article","Volume IV / Automation · Artificial intelligence; Volume IV / Book and master compilation / The Last Human Workforce [book]","Book compilation · editorial development; Preview-only bounded text adaptation","IO-FAMILY-SERVER-AS-FURNACE; IO-FAMILY-REGROWING-HUMANITY","book-and-research-article-relationship; DOCX/PDF/PPTX-version-set","RESOLVED_OR_NOT_APPLICABLE","REPOINT"
"IO-FAMILY-LATINO_IRONY","The Latino Irony: Why Many Hispanic Americans Support Donald Trump","src/data/archive-navigation.ts#archivePapers[latino-irony]; src/data/papers.ts#paperDocuments[latino-irony]","52597fb221559fbec73b81ceb9273ea407eba00ed0399136ee0cd7dd469d665e","/library/documents/latino-irony/","archive-family; paper-synopsis","Volume II / Politics & Demography; Volume II / Immigration, citizenship, and border / Latino voting behavior [primary]","Public author paper; Author working paper","NONE","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-LOTTERY-OF-LUCK","The Lottery of Luck: Why Education Remains the Only Scalable Path to Middle-Class Stability in the AI Economy","src/data/papers.ts#paperDocuments[lottery-of-luck]","c9027cf239a300845a45ffe08acdf32ca6b9953f50da2027a604bc192cfc4f29","/library/documents/lottery-of-luck/","paper-synopsis","Volume IV / Education, AI & Human Capability","Author working paper","NONE","placement-conflict; duplicate-review-variants; PDF-derivative","UNRESOLVED; current taxonomy was not guarded by an owner-approval hold","HOLD"
"IO-FAMILY-MANAGED_DECLINE","Managed Decline: Economic Displacement, Social Welfare, and the Machinery of Modern Class Collapse","src/data/archive-navigation.ts#archivePapers[managed-decline]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","/series/managed-decline/","archive-family","Volume III / Book and master compilation / Managed Decline [book]","Book compilation · editorial development","NONE","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-MANAGED_INTERDEPENDENCE","Managed Interdependence: Industrial Policy and Governance Sequencing in Post-Autocratic Russia","src/data/archive-navigation.ts#archivePapers[managed-interdependence]; src/data/papers.ts#paperDocuments[managed-interdependence]","b5ee549e2022df84243758cec6b6d71ff8e01793d831d4c99ca54076855f143b","/library/documents/managed-interdependence/","archive-family; paper-synopsis","Volume II / Geopolitics & Sovereignty; Volume II / Empire, geopolitics, and sovereignty / Post-autocratic Russia and industrial policy [primary]","Public author paper; Author working paper","NONE","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-MANIFESTO_AND_DESTINY","Independent Observer: Manifesto and Destiny","src/data/archive-navigation.ts#archivePapers[manifesto-and-destiny]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume I / Book and master compilations / Manifesto and Destiny [book]","Book compilation · editorial development","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-MASK_PROGRESSIVE_TERRY","The Mask of the Progressive and Terry","src/data/archive-navigation.ts#archivePapers[mask-progressive-terry]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Civil rights, carceral state, and legal power / Mask of the Progressive and Terry [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-MINDHIVE_HORIZONS","MindHive Horizons","src/data/archive-navigation.ts#archivePapers[mindhive-horizons]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume IV / Technology, cognition, and governance / Technology and cognition paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-MITCHELL_TO_BARR","From Mitchell to Barr: The Attorney General’s Legal Boundaries in Times of Crisis","src/data/archive-navigation.ts#archivePapers[mitchell-to-barr]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Civil rights, carceral state, and legal power / Attorney General and presidential pressure [primary]; Volume III / E. Governance, legitimacy, and accountability / Connected archive records [cross-volume]","Archive catalogue entry · editorial review","NONE","intentional-cross-volume-or-book-relationship","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-MORAL_EXCEPTIONALISM","Moral Exceptionalism, War, and National Memory","src/data/archive-navigation.ts#archivePapers[moral-exceptionalism]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Empire, geopolitics, and sovereignty / Moral exceptionalism, war, and national memory [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-NATIVIST_POLITICS","You Can Have Our Money, But Not Our Vote: Nativist Politics and Globalized Capital","src/data/archive-navigation.ts#archivePapers[nativist-politics]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / B. Deindustrialization, welfare, social control, and cultural displacement / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-NATO_AMERICAN_EMPIRE","NATO and the American Empire","src/data/archive-navigation.ts#archivePapers[nato-american-empire]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Empire, geopolitics, and sovereignty / Europe, NATO, and borrowed sovereignty [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-ORIGINAL_MASTER_IP","Original master and IP declaration","src/data/archive-navigation.ts#archivePapers[original-master-ip]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume I / Book and master compilations / Original master and IP declaration [book]","Archive master record · not a public reading copy","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-PARTY_SWITCH_POLARIZATION","Party Switch and Polarization","src/data/archive-navigation.ts#archivePapers[party-switch-polarization]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Democracy, institutions, and party power / Party switch and polarization [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-PERCEPTION_PROXY","The Perception Proxy","src/data/archive-navigation.ts#archivePapers[perception-proxy]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / B. Deindustrialization, welfare, social control, and cultural displacement / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-PLACEBO_DISCRIMINATION","The Placebo of Discrimination","src/data/archive-navigation.ts#archivePapers[placebo-discrimination]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / B. Deindustrialization, welfare, social control, and cultural displacement / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-PLATO_TO_CHOMSKY","From Plato to Chomsky: Democracy and Civic Capacity","src/data/archive-navigation.ts#archivePapers[plato-to-chomsky]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume I / Foundational manifesto and method / Democracy, civic capacity, and comparative development [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-POWER_OF_KNOWLEDGE","The Power of Knowledge, Skills, and Abilities","src/data/archive-navigation.ts#archivePapers[power-of-knowledge]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume I / Foundational manifesto and method / Knowledge, skills, and human capability [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-PRESCRIPTION_PAD_POWER","From Prescription Pad to Power","src/data/archive-navigation.ts#archivePapers[prescription-pad-power]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / F. Education, medicine, health, and human capital / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-PROGRAMMABLE-GENE-SILENCING","Programmable Gene Silencing Governance","src/data/archive-navigation.ts#archivePapers[programmable-gene-silencing]; src/data/clearance-queue.ts#nextClearanceQueue[programmable-gene-silencing-governance]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family; clearance-queue","Volume IV; Volume IV / Technology, cognition, and governance / Biotechnology, biosecurity, and dual-use governance [primary]","Archive catalogue entry · editorial review; working_paper","NONE","not-cleared-for-public-release","RESOLVED_OR_NOT_APPLICABLE","HOLD"
"IO-FAMILY-PROTECTED_CRIMINALS","Protected Criminals: The Real Power Behind Pardons and Non-Prosecution","src/data/archive-navigation.ts#archivePapers[protected-criminals]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Civil rights, carceral state, and legal power / Protected criminals, pardons, and non-prosecution [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-QUANTUM-ADVANTAGE-FOUNDATIONS","Entanglement, No-Signalling, and the Real Path to Quantum Advantage: Foundations, Architectures, and Societal Implications","src/data/archive-navigation.ts#archivePapers[quantum-advantage-foundations]; src/data/papers.ts#paperDocuments[entanglement-foundations]","25063baf328eee8719ef5e34d9d38209c1f4c4d0d655051e5210bcb0c33042c2","/library/documents/entanglement-foundations/","archive-family; paper-synopsis","Volume IV / Quantum Computing & Scientific Capacity; Volume IV / Technology, cognition, and governance / Technology and cognition paper shelf [primary]","Public author paper; Author working paper","NONE","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-QUANTUM-ADVANTAGE-PRIMER","Entanglement, No-Signalling, and the Real Path to Quantum Advantage: A Systems-Level Primer | Entanglement, No-Signalling, and the Real Path to Quantum Advantage: A Systems-Level Primer for Practitioners and Policymakers","src/data/archive-navigation.ts#archivePapers[quantum-advantage-primer]; src/data/papers.ts#paperDocuments[entanglement-primer]","8f7a1eb1d1a5d00a6fecf974947ddc04ba75a7b1e2f9742d312d0ca6a2a8aa6d","/library/documents/entanglement-primer/","archive-family; paper-synopsis","Volume IV / Quantum Computing & Scientific Capacity; Volume IV / Technology, cognition, and governance / Technology and cognition paper shelf [primary]","Public author paper; Author working paper","NONE","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-QUANTUM-ANTIMATTER","Quantum Computing, Antimatter, and the Next Energy Revolution","src/data/archive-navigation.ts#archivePapers[quantum-antimatter]; src/data/clearance-queue.ts#nextClearanceQueue[quantum-computing-antimatter-energy-revolution]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family; clearance-queue","Volume IV; Volume IV / Technology, cognition, and governance / Technology and cognition paper shelf [primary]","Archive catalogue entry · editorial review; working_paper","NONE","not-cleared-for-public-release","RESOLVED_OR_NOT_APPLICABLE","HOLD"
"IO-FAMILY-QUIET_WEALTH","Quiet Wealth as Risk Management","src/data/archive-navigation.ts#archivePapers[quiet-wealth]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume I / Quiet wealth, risk, and asset protection / Quiet wealth [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-REGROWING-HUMANITY","Regrowing Humanity | Regrowing Humanity: How Robotic Limbs Are Becoming Integrated Extensions of the Human Body","src/data/archive-navigation.ts#archivePapers[regrowing-humanity]; src/data/green-publications.ts#greenPublications[IO-V4-REGROWING-HUMANITY]","7c65698141490d6aa51ff544f3532d946cdb289fd4c6e4c32d58b259b916af96","/research/regrowing-humanity/","archive-family; research-article","Volume IV / Science · Technology; Volume IV / Human capability and development / Regrowing humanity and neuroprosthetics [primary]","Public author paper; Preview-only bounded text adaptation","IO-FAMILY-LAST-HUMAN-WORKFORCE; IO-FAMILY-SERVER-AS-FURNACE","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-REPUTATION_DEBT","Reputation Debt","src/data/archive-navigation.ts#archivePapers[reputation-debt]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume I / Documentation, memory, and evidence / Security of memory [primary]; Volume III / E. Governance, legitimacy, and accountability / Connected archive records [cross-volume]","Archive catalogue entry · editorial review","NONE","intentional-cross-volume-or-book-relationship","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-RICHER_REPUBLIC_WEAKER_HEGEMON","The Richer Republic, the Weaker Hegemon","src/data/archive-navigation.ts#archivePapers[richer-republic-weaker-hegemon]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / C. Macroeconomy, industrial power, and geopolitical infrastructure / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-RIVAL-WEST-BUILT","The Rival the West Built","src/data/archive-navigation.ts#archivePapers[rival-west-built]; src/data/clearance-queue.ts#nextClearanceQueue[the-rival-the-west-built]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family; clearance-queue","Volume IV / Transition from Volume III / Transition paper [primary]","Archive catalogue entry · editorial review; working_paper","NONE","not-cleared-for-public-release","RESOLVED_OR_NOT_APPLICABLE","HOLD"
"IO-FAMILY-ROTATING_SCAPEGOAT","Migration, Labor, and the Rotating Scapegoat","src/data/archive-navigation.ts#archivePapers[rotating-scapegoat]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Immigration, citizenship, and border / Migration, labor, and the rotating scapegoat [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-RUSSIA_AFTER_AUTOCRACY","Russia After Autocracy: A Policy Framework for Strategic Reform and Economic Renaissance","src/data/archive-navigation.ts#archivePapers[russia-after-autocracy]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Empire, geopolitics, and sovereignty / Post-autocratic Russia and industrial policy [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-SANCTIONED_CAPITAL","Sanctioned Capital: The American Opportunity Myth","src/data/archive-navigation.ts#archivePapers[sanctioned-capital]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Civil rights, carceral state, and legal power / Sanctioned capital and the American opportunity myth [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-SECURITY_OF_MEMORY","Security of Memory: State Funerals and Political Legitimacy","src/data/archive-navigation.ts#archivePapers[security-of-memory]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume I / Documentation, memory, and evidence / Security of memory [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-SERVER_AS_FURNACE","The Server as a Furnace: Rust Belt AI Thermal Infrastructure","src/data/archive-navigation.ts#archivePapers[server-as-furnace]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","/research/the-server-as-a-furnace/","archive-family","Volume III / C. Macroeconomy, industrial power, and geopolitical infrastructure / Direct paper shelf [primary]","Public author paper","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-SERVER-AS-FURNACE","The Server as a Furnace","src/data/green-publications.ts#greenPublications[IO-V3-SERVER-AS-FURNACE]","e4e8bda82c77dae4695a9b78c6446fbc98fb4e332566f535e106b4899fb3d5fe0","/research/the-server-as-a-furnace/","research-article","Volume III / Artificial intelligence · Infrastructure","Preview-only bounded text adaptation","IO-FAMILY-LAST-HUMAN-WORKFORCE","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-SILENT_ARCHIVIST","The Silent Archivist","src/data/archive-navigation.ts#archivePapers[silent-archivist]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume I / Documentation, memory, and evidence / Silent archivist [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-SMASHING_PROXY","Smashing the Proxy","src/data/archive-navigation.ts#archivePapers[smashing-proxy]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / B. Deindustrialization, welfare, social control, and cultural displacement / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-SOCIAL_CLASS_WELFARE","Social Class and Welfare","src/data/archive-navigation.ts#archivePapers[social-class-welfare]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / A. Marriage, ownership, tax, and wealth architecture / Tax, ownership, and social class [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-STATE_OF_EXCEPTION","State of Exception","src/data/archive-navigation.ts#archivePapers[state-of-exception]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume I / Foundational manifesto and method / Institutional power and public literacy [primary]; Volume III / E. Governance, legitimacy, and accountability / Connected archive records [cross-volume]","Archive catalogue entry · editorial review","NONE","intentional-cross-volume-or-book-relationship","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-STATUS_INCENTIVES","Status Incentives and Boundary Expansion","src/data/archive-navigation.ts#archivePapers[status-incentives]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / B. Deindustrialization, welfare, social control, and cultural displacement / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-STUDY_THE_WALL","Study the Wall","src/data/archive-navigation.ts#archivePapers[study-the-wall]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume I / Foundational manifesto and method / Institutional power and public literacy [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-TERRITORIAL_COLLAPSE_NETWORKED","From Territorial Collapse to Networked Fade","src/data/archive-navigation.ts#archivePapers[territorial-collapse-networked]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / C. Macroeconomy, industrial power, and geopolitical infrastructure / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-THE_AMERICAN_EMPIRE_WAS_NEVER_A_DEMOCRACY","The American Empire was Never a Democracy","src/data/papers.ts#paperDocuments[the-american-empire-was-never-a-democracy]","8b76b1b09baea31498839f6ff9e269556b569bc46e10038c5351b7458cbdef15","/library/documents/the-american-empire-was-never-a-democracy/","paper-synopsis","Volume II / Democracy, Empire & Representation","Author working paper","NONE","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-THERMOSTAT_MUSK","The Thermostat, Elon Musk, and Managed Democracy","src/data/archive-navigation.ts#archivePapers[thermostat-musk]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Democracy, institutions, and party power / Elite agenda setting and donor power [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-THIRTEENTH_PUNISHMENT_CLAUSE","The Clause, They Never Taught You: How the 13th Amendment Legalized Slavery for Profit","src/data/archive-navigation.ts#archivePapers[thirteenth-punishment-clause]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Civil rights, carceral state, and legal power / Thirteenth Amendment punishment clause [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-TWO_MASKS_ONE_FACE","Two Masks, One Face: State Capitalism and Private Feudalism as Mirrors of the Same System","src/data/archive-navigation.ts#archivePapers[two-masks-one-face]; src/data/papers.ts#paperDocuments[two-masks-one-face]","85d2103ef680f0bd827708b9c92f079af3c7865d00047d5b54a0d8cd437d797a","/library/documents/two-masks-one-face/","archive-family; paper-synopsis","Volume II / Political Economy & Institutions; Volume II / Empire, geopolitics, and sovereignty / Resource wealth and competing economic systems [primary]","Public author paper; Author working paper","NONE","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-US_COUNTER_CHINA","U.S. Counter-China and Latin America Playbook","src/data/archive-navigation.ts#archivePapers[us-counter-china]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / C. Macroeconomy, industrial power, and geopolitical infrastructure / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-WARDHAN_TAX_DOCTRINE","The Wardhan Tax Doctrine | The Wardhan Tax Doctrine: Time-as-Deduction, W-2 Relief, and an Eisenhower-Era Return to Progressivity","src/data/archive-navigation.ts#archivePapers[wardhan-tax-doctrine]; src/data/papers.ts#paperDocuments[wardhan-tax-doctrine]","18ff5b27ed02f05c22261eff2df5987d572ac8cabe94fa7d8ba833b83cae10f1","/library/documents/wardhan-tax-doctrine/","archive-family; paper-synopsis","Volume III / Political Economy & Tax; Volume III / A. Marriage, ownership, tax, and wealth architecture / Tax, ownership, and social class [primary]","Public author paper; Author working paper","NONE","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-WELFARE_QUEEN","The Welfare Queen and the Politics of Administrative Stigma","src/data/archive-navigation.ts#archivePapers[welfare-queen]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume II / Democracy, institutions, and party power / Bipartisan betrayal and party continuity [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-WELFARE_WEALTHFARE_SOCIAL_CONTROL","Welfare, Wealthfare, and Social Control in Advanced Democracies","src/data/archive-navigation.ts#archivePapers[welfare-wealthfare-social-control]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family","Volume III / B. Deindustrialization, welfare, social control, and cultural displacement / Direct paper shelf [primary]","Archive catalogue entry · editorial review","NONE","none","RESOLVED_OR_NOT_APPLICABLE","EXCLUDE"
"IO-FAMILY-WHEN_THE_STORM_DECIDES","When the Storm Decides | When the Storm Decides: Crises, Perception, and Electoral Outcomes in the United States","src/data/archive-navigation.ts#archivePapers[when-the-storm-decides]; src/data/papers.ts#paperDocuments[when-the-storm-decides]","6bba0424911fe8523af12b71a6a0b6ef0a94023eb16ec92fd5d702b2d2e26a84","/library/documents/when-the-storm-decides/","archive-family; paper-synopsis","Volume II / Politics & Legitimacy; Volume II / Democracy, institutions, and party power / Crises, elections, and public outrage [primary]","Public author paper; Author working paper","NONE","none","RESOLVED_OR_NOT_APPLICABLE","KEEP"
"IO-FAMILY-WHEN-REAL-SCIENCE-BECOMES-SCIENCE-FICTION","When Real Science Becomes Science Fiction","src/data/archive-navigation.ts#archivePapers[when-real-science-fiction]; src/data/clearance-queue.ts#nextClearanceQueue[when-real-science-becomes-science-fiction]","NOT_RECORDED_IN_PUBLIC_CONTROLLER","NONE","archive-family; clearance-queue","Volume IV; Volume IV / Technology, cognition, and governance / Technology and cognition paper shelf [primary]","Archive catalogue entry · editorial review; working_paper","NONE","not-cleared-for-public-release","RESOLVED_OR_NOT_APPLICABLE","HOLD"
"IO-FAMILY-WHO_DEPORTED_MORE","Who Deported More? Measuring Removals, Returns, and Enforcement Priorities Across Presidential Administrations 2000–2025","src/data/archive-navigation.ts#archivePapers[who-deported-more]; src/data/papers.ts#paperDocuments[who-deported-more]","a27b80308a585940ea9e8a98559f75c08beed334263befa254de545f4b7028ef","/library/documents/who-deported-more/","archive-family; paper-synopsis","Volume II / Demography & Migration; Volume II / Immigration, citizenship, and border / Who deported more? [primary]; Volume III / D. Immigration, law enforcement, measurement, and labor dependence / Who deported more? enforcement measurement [cross-volume]","Public author paper; Author working paper","NONE","intentional-cross-volume-or-book-relationship","RESOLVED_OR_NOT_APPLICABLE","KEEP"
